100
id_1 x_478 y_80
id_2 x_810 y_504
id_3 x_301 y_124
id_4 x_920 y_441
id_5 x_15 y_125
id_6 x_103 y_337
id_7 x_856 y_623
id_8 x_278 y_191
id_9 x_335 y_370
id_10 x_960 y_599
id_11 x_988 y_687
id_12 x_565 y_28
id_13 x_847 y_205
id_14 x_934 y_783
id_15 x_381 y_213
id_16 x_797 y_737
id_17 x_124 y_843
id_18 x_524 y_650
id_19 x_185 y_110
id_20 x_102 y_983
id_21 x_367 y_376
id_22 x_982 y_389
id_23 x_699 y_165
id_24 x_115 y_732
id_25 x_722 y_361
id_26 x_224 y_332
id_27 x_44 y_768
id_28 x_134 y_327
id_29 x_289 y_640
id_30 x_740 y_501
id_31 x_767 y_328
id_32 x_58 y_640
id_33 x_884 y_378
id_34 x_617 y_529
id_35 x_584 y_488
id_36 x_348 y_958
id_37 x_858 y_536
id_38 x_63 y_735
id_39 x_681 y_471
id_40 x_514 y_509
id_41 x_563 y_255
id_42 x_54 y_396
id_43 x_283 y_182
id_44 x_893 y_792
id_45 x_255 y_868
id_46 x_991 y_484
id_47 x_420 y_880
id_48 x_717 y_121
id_49 x_520 y_523
id_50 x_485 y_429
id_51 x_87 y_546
id_52 x_716 y_37
id_53 x_532 y_622
id_54 x_660 y_668
id_55 x_242 y_276
id_56 x_772 y_513
id_57 x_709 y_577
id_58 x_601 y_33
id_59 x_322 y_315
id_60 x_378 y_90
id_61 x_585 y_570
id_62 x_813 y_251
id_63 x_240 y_550
id_64 x_889 y_379
id_65 x_961 y_322
id_66 x_840 y_100
id_67 x_24 y_600
id_68 x_844 y_567
id_69 x_659 y_71
id_70 x_408 y_0
id_71 x_567 y_811
id_72 x_843 y_852
id_73 x_439 y_250
id_74 x_727 y_83
id_75 x_171 y_782
id_76 x_741 y_962
id_77 x_892 y_563
id_78 x_828 y_9
id_79 x_811 y_254
id_80 x_163 y_165
id_81 x_391 y_468
id_82 x_68 y_85
id_83 x_336 y_471
id_84 x_592 y_435
id_85 x_392 y_244
id_86 x_181 y_463
id_87 x_32 y_344
id_88 x_536 y_686
id_89 x_680 y_161
id_90 x_494 y_442
id_91 x_238 y_38
id_92 x_522 y_224
id_93 x_347 y_441
id_94 x_206 y_175
id_95 x_967 y_811
id_96 x_935 y_840
id_97 x_599 y_0
id_98 x_842 y_312
id_99 x_711 y_210
id_100 x_934 y_192
