10000
id_1 x_86185 y_68006
id_2 x_68968 y_14473
id_3 x_35915 y_41709
id_4 x_539 y_28094
id_5 x_84259 y_99284
id_6 x_92739 y_48941
id_7 x_97917 y_71066
id_8 x_89513 y_89278
id_9 x_41425 y_95231
id_10 x_98692 y_16211
id_11 x_87647 y_51204
id_12 x_44917 y_40133
id_13 x_36092 y_46170
id_14 x_29764 y_33745
id_15 x_21460 y_52043
id_16 x_80369 y_86098
id_17 x_62092 y_5210
id_18 x_86676 y_25117
id_19 x_93438 y_49425
id_20 x_24393 y_74171
id_21 x_55148 y_23409
id_22 x_35863 y_43535
id_23 x_52107 y_69047
id_24 x_94269 y_95949
id_25 x_89464 y_63504
id_26 x_7928 y_66993
id_27 x_89657 y_59148
id_28 x_30924 y_65621
id_29 x_35454 y_48859
id_30 x_33906 y_27956
id_31 x_47182 y_61123
id_32 x_54622 y_48316
id_33 x_94627 y_29258
id_34 x_91583 y_65463
id_35 x_64464 y_72162
id_36 x_26239 y_39179
id_37 x_52642 y_70194
id_38 x_59153 y_12533
id_39 x_27799 y_19094
id_40 x_23862 y_18585
id_41 x_16545 y_97294
id_42 x_98468 y_56776
id_43 x_94406 y_87551
id_44 x_69503 y_33871
id_45 x_27213 y_52508
id_46 x_15147 y_37096
id_47 x_96907 y_75603
id_48 x_65677 y_82973
id_49 x_63010 y_43722
id_50 x_67813 y_64365
id_51 x_56412 y_66001
id_52 x_26619 y_373
id_53 x_75680 y_94425
id_54 x_23732 y_78982
id_55 x_57725 y_36172
id_56 x_13892 y_70730
id_57 x_24488 y_25063
id_58 x_83094 y_83180
id_59 x_65170 y_50106
id_60 x_11177 y_20596
id_61 x_99617 y_22740
id_62 x_19233 y_10996
id_63 x_82573 y_1272
id_64 x_97977 y_63606
id_65 x_50859 y_80887
id_66 x_7025 y_23779
id_67 x_85901 y_707
id_68 x_7036 y_99530
id_69 x_62586 y_15557
id_70 x_36754 y_44134
id_71 x_82082 y_29417
id_72 x_75207 y_92579
id_73 x_41042 y_89969
id_74 x_35685 y_66190
id_75 x_72519 y_99234
id_76 x_22556 y_79360
id_77 x_4960 y_3960
id_78 x_44634 y_5082
id_79 x_24808 y_91265
id_80 x_19460 y_81857
id_81 x_95513 y_29964
id_82 x_21787 y_73540
id_83 x_81187 y_66073
id_84 x_26461 y_25849
id_85 x_46637 y_2187
id_86 x_71035 y_98474
id_87 x_57223 y_64740
id_88 x_16652 y_90137
id_89 x_81712 y_90587
id_90 x_17093 y_15444
id_91 x_9257 y_44938
id_92 x_15347 y_36982
id_93 x_27644 y_16327
id_94 x_74671 y_3912
id_95 x_74113 y_21165
id_96 x_16816 y_99136
id_97 x_62344 y_90321
id_98 x_83958 y_51159
id_99 x_9608 y_3270
id_100 x_62833 y_23873
id_101 x_36630 y_81529
id_102 x_9682 y_57761
id_103 x_89350 y_52419
id_104 x_92822 y_99383
id_105 x_36567 y_46632
id_106 x_26027 y_22515
id_107 x_30367 y_98644
id_108 x_349 y_13949
id_109 x_77251 y_77728
id_110 x_34645 y_69704
id_111 x_57063 y_89099
id_112 x_55738 y_23279
id_113 x_44073 y_49701
id_114 x_88064 y_6596
id_115 x_30026 y_61192
id_116 x_79567 y_26388
id_117 x_22447 y_73885
id_118 x_15724 y_24061
id_119 x_93202 y_59704
id_120 x_76823 y_75425
id_121 x_82059 y_89679
id_122 x_74928 y_78200
id_123 x_17948 y_42050
id_124 x_66467 y_69829
id_125 x_6606 y_50747
id_126 x_73967 y_15879
id_127 x_47487 y_40834
id_128 x_66178 y_10209
id_129 x_85088 y_87445
id_130 x_39682 y_32054
id_131 x_70265 y_77807
id_132 x_17054 y_12342
id_133 x_5623 y_52117
id_134 x_26736 y_71782
id_135 x_75750 y_48404
id_136 x_58018 y_6666
id_137 x_17841 y_78892
id_138 x_90850 y_14804
